German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
der Solist,العازف المنفرد,دير زوليزت,der,,noun,,,new,0,
der Sommer,الصيف,دير زوممر,der,,noun,,,new,0,
der Sonntag,الأحد,دير زوننتاغ,der,,noun,,,new,0,
der Sonntagnachmittag,بعد ظهر يوم الأحد,دير زوننتاغناخميتتاغ,der,,noun,,,new,0,
der Spaziergang,المشي,دير شباتسيرغانغ,der,,noun,,,new,0,
der Spaß,المتعة,دير شباس,der,,noun,,,new,0,
der Spielplatz,الملعب,دير شبيلبلاتس,der,,noun,,,new,0,
der Sport,الرياضة,دير شبورت,der,,noun,,,new,0,
der Sportclub,النادي الرياضي,دير شبورتكلوب,der,,noun,,,new,0,
der Sportler,الرياضي,دير شبورتلر,der,,noun,,,new,0,
der Sportschuh,الحذاء الرياضي,دير شبورتشوه,der,,noun,,,new,0,
der Stadtpark,حديقة المدينة,دير شتادتبارك,der,,noun,,,new,0,
der Stadtplan,خريطة المدينة,دير شتادتبلان,der,,noun,,,new,0,
der Stadturlaub,عطلة في المدينة,دير شتادتورلآوب,der,,noun,,,new,0,
der Stapel,المكدس,دير شتابل,der,,noun,,,new,0,
der Star,النجم,دير شتار,der,,noun,,,new,0,
der Start,البداية,دير شتارت,der,,noun,,,new,0,
der Statist,الإضافي,دير شتاتيزت,der,,noun,,,new,0,
der Steckbrief,الملف الشخصي,دير شتهكبريف,der,,noun,,,new,0,
der Stichpurikt,ستيتشبوريك,دير شتيشبوريكت,der,,noun,,,new,0,
der Stiefel,الحذاء,دير شتيفل,der,,noun,,,new,0,
der Stift,القلم الرصاص,دير شتيفت,der,,noun,,,new,0,
der Stock,العصا,دير شتوك,der,,noun,,,new,0,
der Stollen,النفق,دير شتوللن,der,,noun,,,new,0,
der Storch,اللقلق,دير شتورش,der,,noun,,,new,0,
der Strand,الشاطئ,دير شتراند,der,,noun,,,new,0,
der Stress,التوتر,دير شترِزز,der,,noun,,,new,0,
der Student,الطالب,دير شتودنت,der,,noun,,,new,0,
der Stundenplan,الجدول الزمني,دير شتوندنبلان,der,,noun,,,new,0,
der Superlativ,صيغة التفضيل,دير زوبرلاتيف,der,,noun,,,new,0,
der Sänger,المغني,دير زينغر,der,,noun,,,new,0,
der Süden,الجنوب,دير زودن,der,,noun,,,due,38,
der Tag,اليوم,دير تاغ,der,,noun,,,new,0,
der Tagesgast,ضيف اليوم,دير تاغهزغازت,der,,noun,,,new,0,
der Tango,التانغو,دير تانغو,der,,noun,,,new,0,
der Taxifahrer,سائق التاكسي,دير تاكسيفاهرر,der,,noun,,,new,0,
der Techniker,الفني,دير تهشنيكر,der,,noun,,,new,0,
der Tee,الشاي,دير تهه,der,,noun,,,new,0,
der Teil,الجزء,دير تآيل,der,,noun,,,new,0,
der Teller,الطبق,دير تللر,der,,noun,,,new,0,
der Tennisplatz,ملعب التنس,دير تننيزبلاتس,der,,noun,,,new,0,
der Teppich,السجادة,دير تهببيش,der,,noun,,,new,0,
der Termin,الموعد,دير ترمين,der,,noun,,,new,0,
der Test,الاختبار,دير تهزت,der,,noun,,,new,0,
der Text,النص,دير تهكست,der,,noun,,,new,0,
der Textbaustein,وحدة النص,دير تهكستبآوزتآين,der,,noun,,,new,0,
der Therapeut,المعالج,دير ترابأويت,der,,noun,,,new,0,
der Thriller,فيلم الإثارة,دير تريللر,der,,noun,,,new,0,
der Ticketkauf,شراء التذاكر,دير تيكهتكآوف,der,,noun,,,new,0,
der Tiertrainer,مدرب الحيوانات,دير تيرترآينر,der,,noun,,,new,0,
der Tisch,الجدول,دير تيش,der,,noun,,,new,0,
der Tourist,السائح,دير تووريزت,der,,noun,,,new,0,
der Trailer,المقطع الدعائي,دير ترآيلر,der,,noun,,,new,0,
der Trainer,المدرب,دير ترآينر,der,,noun,,,new,0,
der Traum,الحلم,دير ترآوم,der,,noun,,,new,0,
der Traumurlaub,عطلة الأحلام,دير ترآومورلآوب,der,,noun,,,new,0,
der Treffpunkt,نقطة الالتقاء,دير ترِففبونكت,der,,noun,,,new,0,
der Trompetenunterricht,دروس في العزف على البوق,دير ترومبهتنونترريشت,der,,noun,,,new,0,
der Tropfen,السقوط,دير تروبفن,der,,noun,,,new,0,
der Turm,البرج,دير تورم,der,,noun,,,new,0,
der Umlaut,علامة التشكيل (أوملاوت),دير وملآوت,der,,noun,,,new,0,
der Umzug,الخطوة,دير ومتسوغ,der,,noun,,,new,0,
der Unfall,الحادث,دير ونفالل,der,,noun,,,new,0,
der Unterricht,الدرس,دير ونترريشت,der,,noun,,,new,0,
der Unterstrich,الشرطة السفلية,دير ونترزتريش,der,,noun,,,new,0,
der Urlaub,العطلات,دير ورلآوب,der,,noun,,,new,0,
der Urlaubsort,المنتجع السياحي,دير ورلآوبزورت,der,,noun,,,new,0,
der USB-Stick,ذاكرة USB,دير وزب-شتيك,der,,noun,,,new,0,
der Vater,الأب,دير فاتر,der,,noun,,,new,0,
der Verband,الجمعية,دير فرباند,der,,noun,,,new,0,
der Verein,الاتحاد,دير فرآين,der,,noun,,,new,0,
der Vergleich,المقارنة,دير فرغلآيش,der,,noun,,,new,0,
der Verkehr,حركة المرور,دير فركههر,der,,noun,,,new,0,
der Vokabeltest,اختبار المفردات,دير فوكابلتهزت,der,,noun,,,new,0,
der Vokal,حرف العلة,دير فوكال,der,,noun,,,new,0,
der Vormittag,الصباح,دير فورميتتاغ,der,,noun,,,new,0,
der Vorname,الاسم الأول,دير فورنامه,der,,noun,,,new,0,
der Vorschlag,الاقتراح,دير فورشلاغ,der,,noun,,,new,0,
der Vorteil,الميزة,دير فورتآيل,der,,noun,,,new,0,
der Wagen,السيارة,دير فاغن,der,,noun,,,new,0,
der Weg,الطريق,دير فِغ,der,,noun,,,new,0,
der Weihnachtsmarkt,سوق عيد الميلاد,دير فآيهناختزماركت,der,,noun,,,new,0,
der Westen,الغرب,دير فِزتن,der,,noun,,,new,0,
der Wetterbericht,تقرير حالة الطقس,دير فِتتربريشت,der,,noun,,,new,0,
der Wind,الريح,دير فيند,der,,noun,,,new,0,
der Winter,شتاء,دير فينتر,der,,noun,,,new,0,
der Witz,النكتة,دير فيتس,der,,noun,,,new,0,
der Wochentag,يوم من أيام الأسبوع,دير فوخنتاغ,der,,noun,,,new,0,
der Wohnort,مكان الإقامة,دير فوهنورت,der,,noun,,,new,0,
der Wortanfang,بداية الكلمة,دير فورتانفانغ,der,,noun,,,new,0,
der Wortteil,جزء من الكلمة,دير فورتتآيل,der,,noun,,,new,0,
der Wunsch,الرغبة,دير فونش,der,,noun,,,new,0,
der Zahn,السن,دير تساهن,der,,noun,,,new,0,
der Zahnarzt,طبيب الأسنان,دير تساهنارتست,der,,noun,,,new,0,
der Zettel,الملاحظة,دير تسِتتل,der,,noun,,,new,0,
der Zoo,حديقة الحيوان,دير تسوو,der,,noun,,,new,0,
der Zucker,السكر,دير تسوكر,der,,noun,,,new,0,
der Zufall,فرصة,دير تسوفالل,der,,noun,,,new,0,
der Zug,القطار,دير تسوغ,der,,noun,,,new,0,
der Zuschauer,المتفرج,دير تسوشآور,der,,noun,,,new,0,
der Ärger,المشكلة,دير يرغر,der,,noun,,,new,0,
der Überraschungstag,يوم المفاجأة,دير وبرراشونغزتاغ,der,,noun,,,new,0,
der Übersetzer,المترجم,دير وبرزِتسر,der,,noun,,,new,0,
der/die Angestellte,الموظف,دير/دي انغهزتللته,,,phrase,,,new,0,
der/die Auszubildende,المتدرب,دير/دي آوزتسوبيلدنده,,,phrase,,,new,0,
der/die Bekannte,المعرفة,دير/دي بهكاننته,,,phrase,,,new,0,
der/die Deutsche,الألماني,دير/دي دأويتشه,,,phrase,,,new,0,
der/die Erste,الأول,دير/دي رزته,,,phrase,,,new,0,
die Erwachsene,البالغ,دي رفاخزنه,die,,noun,,,new,0,
der/die Jugendliche,الشاب,دير/دي يوغندليشه,,,phrase,,,new,0,
der/die Kranke,الشخص المريض,دير/دي كرانكه,,,phrase,,,new,0,
der/die Letzte,الأخير,دير/دي لِتسته,,,phrase,,,new,0,
der/die Nächste,التالي,دير/دي نيشزته,,,phrase,,,new,0,
der/die Studierende,الطالب,دير/دي شتوديرنده,,,phrase,,,new,0,
der/die Verletzte,الشخص المصاب,دير/دي فرلِتسته,,,phrase,,,new,0,
der/die Verwandte,قريب,دير/دي فرفاندته,,,phrase,,,new,0,
deutlich,بوضوح,دأويتليش,,,word,,,new,0,
deutschsprachig,الناطقون بالألمانية,دأويتشزبراخيغ,,,word,,,new,0,
dich,أنت,ديش,,,word,,,new,0,
die,ال,دي,,,word,,,new,0,
die Abendkleidung,ملابس السهرة,دي ابندكلآيدونغ,die,,noun,,,new,0,
die Abfahrt,الوداع,دي ابفاهرت,die,,noun,,,new,0,
die Absage,الإلغاء,دي ابزاغه,die,,noun,,,new,0,
die AG,المدعي العام,دي اغ,die,,noun,,,new,0,
die Agentur für Arbeit,وكالة التوظيف,دي اغنتور فوير اربآيت,die,,sentence,,,new,0,
die Ahnung,الشعور,دي اهنونغ,die,,noun,,,new,0,
die Aktivität,النشاط,دي اكتيفيتيت,die,,noun,,,new,0,
die Altbauwohnung,الشقة القديمة,دي التبآوفوهنونغ,die,,noun,,,new,0,
die Altenpflegerin,ممرضة رعاية المسنين,دي التنبفلِغرين,die,,noun,,,new,0,
die Altersangabe,مؤشر العمر,دي الترزانغابه,die,,noun,,,new,0,
die Altstadt,المدينة القديمة,دي التزتادت,die,,noun,,,new,0,
die Angabe,المعلومات,دي انغابه,die,,noun,,,new,0,
die Angst,الخوف,دي انغزت,die,,noun,,,new,0,
die Ankunft,الوصول,دي انكونفت,die,,noun,,,new,0,
die Anrede,التحية,دي انرِده,die,,noun,,,new,0,
die Anredeformel,التحية,دي انرِدِفورمل,die,,noun,,,new,0,
die Anruferin,المتصل,دي انروفرين,die,,noun,,,new,0,
die Anweisung,التعليمات,دي انفآيزونغ,die,,noun,,,new,0,
die Anzeige,الإعلان,دي انتسآيغه,die,,noun,,,new,0,
die Apfelsaftschorle,مشروب عصير التفاح الفوار,دي ابفلزافتشورله,die,,noun,,,new,0,
die Apfelschorle,مشروب التفاح الفوار,دي ابفلشورله,die,,noun,,,new,0,
die Apotheke,الصيدلية,دي ابوتهكه,die,,noun,,,new,0,
die App,التطبيق,دي ابب,die,,noun,,,new,0,
die Arbeitswelt,عالم العمل,دي اربآيتزفلت,die,,noun,,,new,0,
die Architektin,المهندس المعماري,دي ارشيتهكتين,die,,noun,,,new,0,
die Architektur,الهندسة المعمارية,دي ارشيتهكتور,die,,noun,,,new,0,
die Art,النوع,دي ارت,die,,noun,,,new,0,
die Arzthelferin,المساعد الطبي,دي ارتستلفرين,die,,noun,,,new,0,
die Arztkleidung,زي الطبيب,دي ارتستكلآيدونغ,die,,noun,,,new,0,
die Arztpraxis,عيادة الطبيب,دي ارتستبراكسيز,die,,noun,,,new,0,
die Assoziation,الجمعية,دي اززوتسياتسيون,die,,noun,,,new,0,
die Atmosphäre,الجو,دي اتموزفيره,die,,noun,,,new,0,
die Attraktion,عامل الجذب,دي اتتراكتسيون,die,,noun,,,new,0,
die Aufforderung,الطلب,دي آوففوردرونغ,die,,noun,,,new,0,
die Aufgabe,المهمة,دي آوفغابه,die,,noun,,,new,0,
die Augenoptikerin,أخصائي البصريات,دي آوغنوبتيكرين,die,,noun,,,new,0,
die Aushilfe,العامل المؤقت,دي آوزهيلفه,die,,noun,,,new,0,
die Auskunft,المعلومات,دي آوزكونفت,die,,noun,,,new,0,
die Ausstellung,المعرض,دي آوززتللونغ,die,,noun,,,new,0,
die Autobahn,الطريق السريع,دي آوتوباهن,die,,noun,,,new,0,
die Autobiografie,السيرة الذاتية,دي آوتوبيوغرافي,die,,noun,,,new,0,
die Babykleidung,ملابس الأطفال,دي بابيكلآيدونغ,die,,noun,,,new,0,
die Badehose,سروال السباحة,دي بادِهوزه,die,,noun,,,new,0,
die Bademode,ملابس السباحة,دي بادِموده,die,,noun,,,new,0,
die Bahn,القطار,دي باهن,die,,noun,,,new,0,
die Bahnhofshalle,قاعة المحطة,دي باهنهوفزهالله,die,,noun,,,new,0,
die Banane,الموز,دي بانانه,die,,noun,,,new,0,
die Band,الفرقة,دي باند,die,,noun,,,new,0,
die Bankkarte,بطاقة البنك,دي بانككارته,die,,noun,,,new,0,
die Bankkauffrau,موظف البنك,دي بانككآوففرآو,die,,noun,,,new,0,
die Bar,البار,دي بار,die,,noun,,,new,0,
die Bauchschmerzen,ألم في المعدة,دي بآوششمرتسن,die,,noun,,,new,0,
die Baustelle,موقع البناء,دي بآوزتلله,die,,noun,,,new,0,
die Bauzeit,فترة البناء,دي بآوتسآيت,die,,noun,,,new,0,
die Beamtin,المسؤول,دي بهامتين,die,,noun,,,new,0,
die Begeisterung,الحماس,دي بهغآيزترونغ,die,,noun,,,new,0,
die Behinderung,الإعاقة,دي بههيندرونغ,die,,noun,,,new,0,
die Behörde,السلطة,دي بههورده,die,,noun,,,new,0,
die Beiz,الحانة,دي بآيتس,die,,noun,,,new,0,
die Bergtour,جولة جبلية,دي برغتوور,die,,noun,,,new,0,
die Berufserfahrung,الخبرة المهنية,دي بروفزرفاهرونغ,die,,noun,,,new,0,
die Berufsschule,المدرسة المهنية,دي بروفزشوله,die,,noun,,,new,0,
die Besprechung,الاجتماع,دي بهزبرِشونغ,die,,noun,,,new,0,
die Bestellung,الطلب,دي بهزتللونغ,die,,noun,,,new,0,
die Besucherin,الزائر,دي بهزوخرين,die,,noun,,,new,0,
die Betonung,التأكيد,دي بهتونونغ,die,,noun,,,new,0,
die Bewegung,الحركة,دي بهفِغونغ,die,,noun,,,new,0,
die Bewerbung,التطبيق,دي بهفربونغ,die,,noun,,,new,0,
die Bewohnerin,المقيم,دي بهفوهنرين,die,,noun,,,new,0,
die Bezahlung,الدفع,دي بهتساهلونغ,die,,noun,,,new,0,
die Bibliothek,المكتبة,دي بيبليوتهك,die,,noun,,,new,0,
die Bildgeschichte,قصة مصورة,دي بيلدغهشيشته,die,,noun,,,new,0,
die Birne,الكمثرى,دي بيرنه,die,,noun,,,new,0,
die Bitte,الطلب,دي بيته,die,,noun,,,new,0,
die Blume,الزهرة,دي بلومه,die,,noun,,,new,0,
die Bluse,البلوزة,دي بلوزه,die,,noun,,,new,0,
die Brücke,الجسر,دي بروكه,die,,noun,,,new,0,
die Burg,القلعة,دي بورغ,die,,noun,,,new,0,
die Busfahrerin,سائق الحافلة,دي بوزفاهررين,die,,noun,,,new,0,
die Butter,الزبدة,دي بوتتر,die,,noun,,,new,0,
die Bäckerei,المخبز,دي بيكرآي,die,,noun,,,new,0,
die Bühne,المسرح,دي بوهنه,die,,noun,,,new,0,
die Cafeteria,الكافتيريا,دي كافِتريا,die,,noun,,,new,0,
die CD,القرص المضغوط,دي كد,die,,noun,,,new,0,
die Chance,الفرصة,دي شانكه,die,,noun,,,new,0,
die Chefin,المدير,دي شِفين,die,,noun,,,new,0,
die Chips,رقائق البطاطس,دي شيبز,die,,noun,,,new,0,
die Clubdisco,ديسكو النادي,دي كلوبديزكو,die,,noun,,,new,0,
die Computerarbeit,العمل على الكمبيوتر,دي كومبوتراربآيت,die,,noun,,,new,0,
die Computerfirma,شركة الكمبيوتر,دي كومبوترفيرما,die,,noun,,,new,0,
die Dame,السيدة,دي دامه,die,,noun,,,new,0,
die Damenmode,أزياء نسائية,دي دامنموده,die,,noun,,,new,0,
die Dankeskarte,بطاقة الشكر,دي دانكهزكارته,die,,noun,,,new,0,
die Datei,الملف,دي داتآي,die,,noun,,,new,0,
die Dauer,المدة,دي دآور,die,,noun,,,new,0,
die Decke,السقف,دي دِكه,die,,noun,,,new,0,
die Delikatesse,الطعام الشهي,دي دليكاتهززه,die,,noun,,,new,0,
die Designerin,المصمم,دي دِزيغنرين,die,,noun,,,new,0,
die Digitalisierung,الرقمنة,دي ديغيتاليزيرونغ,die,,noun,,,new,0,
die Direktorin,المخرج,دي ديرِكتورين,die,,noun,,,new,0,
die Disco,الديسكو,دي ديزكو,die,,noun,,,new,0,
die Doktorin,الطبيب,دي دوكتورين,die,,noun,,,new,0,
die Dose,الصفيح,دي دوزه,die,,noun,,,new,0,
die Durchsage,الإعلان,دي دورشزاغه,die,,noun,,,new,0,
die Dusche,الدش,دي دوشه,die,,noun,,,new,0,
die E-Mail-Adresse,عنوان البريد الإلكتروني,دي ه-مآيل-ادرِززه,die,,noun,,,new,0,
die Ecke,الزاوية,دي ِكه,die,,noun,,,new,0,
die Ehefrau,الزوجة,دي ِهِفرآو,die,,noun,,,new,0,
die Einbürgerung,التجنس,دي آينبورغرونغ,die,,noun,,,new,0,
die Einladung,الدعوة,دي آينلادونغ,die,,noun,,,new,0,
die Einladungs-Mail,رسالة البريد الإلكتروني للدعوة,دي آينلادونغز-مآيل,die,,noun,,,new,0,
die Einweihungsfeier,حفل الافتتاح,دي آينفآيهونغزفآير,die,,noun,,,new,0,
die Elektrikerin,الكهربائي,دي لِكتريكرين,die,,noun,,,new,0,
die Emotion,العاطفة,دي ِموتسيون,die,,noun,,,new,0,
die Empfängerin,المتلقي,دي ِمبفينغرين,die,,noun,,,new,0,
die Endung,النهاية,دي ندونغ,die,,noun,,,new,0,
die Englischlehrerin,مدرس اللغة الإنجليزية,دي نغليشلِهررين,die,,noun,,,new,0,
die Enkelin,الحفيدة,دي نكلين,die,,noun,,,new,0,
die Entertainerin,الفنان,دي نترتآينرين,die,,noun,,,new,0,
die Entscheidung,القرار,دي نتشآيدونغ,die,,noun,,,new,0,
die Entschuldigung,الاعتذار,دي نتشولديغونغ,die,,noun,,,new,0,
die Entspannung,استرخاء,دي نتزباننونغ,die,,noun,,,new,0,
die Erfahrung,التجربة,دي رفاهرونغ,die,,noun,,,new,0,
die Erfindung,الاختراع,دي رفيندونغ,die,,noun,,,new,0,
die Erholung,التعافي,دي رهولونغ,die,,noun,,,new,0,
die Erlaubnis,الإذن,دي رلآوبنيز,die,,noun,,,new,0,
die Ermäßigung,الخصم,دي رميسيغونغ,die,,noun,,,new,0,
die Erzieherin,معلمة رياض الأطفال,دي رتسيهرين,die,,noun,,,ignored,0,أبلغ المستخدم عن مشكلة لغوية أو بياناتية
die Fabrik,المصنع,دي فابريك,die,,noun,,,new,0,
die Fachoberschule,المدرسة الثانوية المهنية,دي فاخوبرشوله,die,,noun,,,new,0,
die Fahrerin,السائق,دي فاهررين,die,,noun,,,new,0,
die Fahrkarte,التذكرة,دي فاهركارته,die,,noun,,,new,0,
die Fahrradtour,جولة الدراجات,دي فاهررادتوور,die,,noun,,,new,0,
die Fantasie,الخيال,دي فانتازي,die,,noun,,,new,0,
die Farbe,اللون,دي فاربه,die,,noun,,,new,0,
die Feier,الحزب,دي فآير,die,,noun,,,new,0,
die Ferien,العطلات,دي فرين,die,,noun,,,new,0,
die Fernfahrerin,سائق الشاحنة,دي فرنفاهررين,die,,noun,,,new,0,
die Fernsehproduktion,الإنتاج التلفزيوني,دي فرنزِهبرودوكتسيون,die,,noun,,,new,0,
die Feuerwehr,إدارة الإطفاء,دي فأويرفِهر,die,,noun,,,new,0,
die Filmbeschreibung,وصف الفيلم,دي فيلمبهشرآيبونغ,die,,noun,,,new,0,
die Filmmusik,موسيقى الفيلم,دي فيلمموزيك,die,,noun,,,new,0,
die Filmproduktion,إنتاج الفيلم,دي فيلمبرودوكتسيون,die,,noun,,,new,0,
die Fitness-App,تطبيق اللياقة البدنية,دي فيتنِزز-ابب,die,,noun,,,new,0,
die Flasche,الزجاجة,دي فلاشه,die,,noun,,,new,0,
die Form,النموذج,دي فورم,die,,noun,,,new,0,
die Formulierung,الصياغة,دي فورموليرونغ,die,,noun,,,new,0,
die Fortsetzung,الجزء الثاني,دي فورتزِتسونغ,die,,noun,,,new,0,
die Fotografin,المصور,دي فوتوغرافين,die,,noun,,,new,0,
die Frage,السؤال,دي فراغه,die,,noun,,,new,0,
die Freiheit,حرية,دي فرآيهآيت,die,,noun,,,new,0,
die Freizeit,وقت الفراغ,دي فرآيتسآيت,die,,noun,,,new,0,
die Freizeitaktivität,النشاط الترفيهي,دي فرآيتسآيتاكتيفيتيت,die,,noun,,,new,0,
die Freizeitkleidung,ملابس رياضية مريحة,دي فرآيتسآيتكلآيدونغ,die,,noun,,,new,0,
die Fremdsprache,اللغة الأجنبية,دي فرِمدزبراخه,die,,noun,,,new,0,
die Freude,الفرح,دي فرأويده,die,,noun,,,new,0,
die Freundschaft,الصداقة,دي فرأويندشافت,die,,noun,,,new,0,
die Friseurin,مصفف الشعر,دي فريزأويرين,die,,noun,,,new,0,
die Führerscheinprüfung,اختبار القيادة,دي فوهررشآينبروفونغ,die,,noun,,,new,0,
die Gabel,الشوكة,دي غابل,die,,noun,,,new,0,
die Geburt,الولادة,دي غهبورت,die,,noun,,,new,0,
die Geburtstagsparty,حفلة عيد الميلاد,دي غهبورتزتاغزبارتي,die,,noun,,,new,0,
die Geige,الكمان,دي غآيغه,die,,noun,,,new,0,
die Geldbörse,المحفظة,دي غلدبورزه,die,,noun,,,new,0,
die Gemeinsamkeit,القاسم المشترك,دي غهمآينزامكآيت,die,,noun,,,new,0,
die Gesamtschule,المدرسة الشاملة,دي غهزامتشوله,die,,noun,,,new,0,
die Geschichte,القصة,دي غهشيشته,die,,noun,,,new,0,
die Geschäftsreise,رحلة عمل,دي غهشيفتزرآيزه,die,,noun,,,new,0,
die Glückwunschkarte,بطاقة المعايدة,دي غلوكفونشكارته,die,,noun,,,due,0,
die Grafik,الرسم البياني,دي غرافيك,die,,noun,,,new,0,
die Grafikerin,مصمم الجرافيك,دي غرافيكرين,die,,noun,,,new,0,
die Grammatikaufgabe,تمرين القواعد,دي غرامماتيكآوفغابه,die,,noun,,,new,0,
die Grenze,الحدود,دي غرنتسه,die,,noun,,,new,0,
die Grillparty,حفلة الشواء,دي غريللبارتي,die,,noun,,,new,0,
die Grippe,الإنفلونزا,دي غريببه,die,,noun,,,new,0,
die Großeltern,الأجداد,دي غروسلترن,die,,noun,,,new,0,
die Grundschule,المدرسة الابتدائية,دي غروندشوله,die,,noun,,,new,0,
die Gruppe,المجموعة,دي غروببه,die,,noun,,,new,0,
die Grußformel,التحية,دي غروسفورمل,die,,noun,,,new,0,
die Größe,الحجم,دي غروِسه,die,,noun,,,new,0,
die Gurke,الخيار,دي غوركه,die,,noun,,,new,0,
die Gärtnerin,البستاني,دي غيرتنرين,die,,noun,,,new,0,
die Halbe Stunde,نصف ساعة,دي هالبه شتونده,die,,phrase,,,new,0,
die Halsschmerzen,التهاب الحلق,دي هالزشمرتسن,die,,noun,,,new,0,
die Haltestelle,موقف الحافلات,دي هالتهزتلله,die,,noun,,,new,0,
die Hand,اليد,دي هاند,die,,noun,,,new,0,
die Handlung,الحبكة,دي هاندلونغ,die,,noun,,,new,0,
die Handtasche,حقيبة اليد,دي هاندتاشه,die,,noun,,,new,0,
die Handwerkerin,الحرفية,دي هاندفركرين,die,,noun,,,new,0,
die Handynummer,رقم الهاتف المحمول,دي هاندينوممر,die,,noun,,,new,0,
die Hauptperson,الشخصية الرئيسية,دي هآوبتبرزون,die,,noun,,,new,0,
die Hauptsache,الشيء الرئيسي,دي هآوبتزاخه,die,,noun,,,new,0,
die Hauptschule,المدرسة الثانوية,دي هآوبتشوله,die,,noun,,,new,0,
die Hauptstadt,العاصمة,دي هآوبتزتادت,die,,noun,,,new,0,
die Hausaufgabe,الواجب المنزلي,دي هآوزآوفغابه,die,,noun,,,new,0,
die Haushaltswaren,الأدوات المنزلية,دي هآوزهالتزفارن,die,,noun,,,new,0,
die Hausmeisterin,القائم على الرعاية,دي هآوزمآيزترين,die,,noun,,,new,0,
die Hausnummer,رقم المنزل,دي هآوزنوممر,die,,noun,,,new,0,
die Heimat,الوطن,دي هآيمات,die,,noun,,,new,0,
die Herrenmode,أزياء الرجال,دي هررنموده,die,,noun,,,new,0,
die Herzchirurgin,جراح القلب,دي هرتسشيرورغين,die,,noun,,,new,0,
die Himmelsrichtung,الاتجاه الأصلي,دي هيمملزريشتونغ,die,,noun,,,new,0,
die Hinfahrt,الرحلة الخارجية,دي هينفاهرت,die,,noun,,,new,0,
die Hitze,الحرارة,دي هيتسه,die,,noun,,,new,0,
die Hochzeit,حفل الزفاف,دي هوختسآيت,die,,noun,,,new,0,
die Homepage,الصفحة الرئيسية,دي هومِباغه,die,,noun,,,new,0,
die Hose,البنطال,دي هوزه,die,,noun,,,new,0,
die Hotelchefin,مدير الفندق,دي هوتلشِفين,die,,noun,,,new,0,
die Hotelkauffrau,مدير الفندق,دي هوتلكآوففرآو,die,,noun,,,new,0,
die Händlerin,التاجر,دي هيندلرين,die,,noun,,,new,0,
die Höflichkeit,اللباقة,دي هوِفليشكآيت,die,,noun,,,new,0,
die Hühnersuppe,حساء الدجاج,دي هوهنرزوببه,die,,noun,,,new,0,
die Idee,الفكرة,دي يده,die,,noun,,,new,0,
die Individualistin,الفرداني,دي ينديفيدواليزتين,die,,noun,,,new,0,
die Informatikerin,عالم الحاسوب,دي ينفورماتيكرين,die,,noun,,,new,0,
die Information,المعلومات,دي ينفورماتسيون,die,,noun,,,new,0,
die Ingenieurin,المهندس,دي ينغنيأويرين,die,,noun,,,new,0,
die Insel,الجزيرة,دي ينزل,die,,noun,,,new,0,
die Ja-/Nein-Frage,سؤال نعم/لا,دي يا-/ناين-فراغه,die,,noun,,,new,0,
die Jacke,السترة,دي ياكه,die,,noun,,,new,0,
die Jahreszeit,الموسم,دي ياهرِزتسآيت,die,,noun,,,new,0,
die Jeans,الجينز,دي يِانز,die,,noun,,,new,0,
die Journalistin,الصحفي,دي يوورناليزتين,die,,noun,,,new,0,
die Jugendherberge,النزل,دي يوغندهربرغه,die,,noun,,,new,0,
die Juristin,المحامي,دي يوريزتين,die,,noun,,,new,0,
die Kaffeemaschine,آلة صنع القهوة,دي كاففِِماشينه,die,,noun,,,new,0,
die Kaiserin,الإمبراطورة,دي كآيزرين,die,,noun,,,new,0,
die Kamera,الكاميرا,دي كامرا,die,,noun,,,new,0,
die Kantine,الكافتيريا,دي كانتينه,die,,noun,,,new,0,
die Karriere,المهنة,دي كارريره,die,,noun,,,new,0,
die Karte,الخريطة,دي كارته,die,,noun,,,new,0,
die Kartoffel,البطاطا,دي كارتوففل,die,,noun,,,new,0,
die Kasse,صندوق النقود,دي كاززه,die,,noun,,,new,0,
die Kellnerin,النادلة,دي كللنرين,die,,noun,,,new,0,
die Kenntnis,المعرفة,دي كننتنيز,die,,noun,,,new,0,
die Kindheit,طفولة,دي كيندهآيت,die,,noun,,,new,0,
die Kirche,الكنيسة,دي كيرشه,die,,noun,,,new,0,
die Kiste,الصندوق,دي كيزته,die,,noun,,,new,0,
die Klamotten,الملابس,دي كلاموتتن,die,,noun,,,new,0,
die Klasse,الفصل,دي كلاززه,die,,noun,,,new,0,
die Klassenfahrt,رحلة الفصل,دي كلاززنفاهرت,die,,noun,,,new,0,
die Kneipe,الحانة,دي كنآيبه,die,,noun,,,new,0,
die Kollegin,الزميل,دي كوللِغين,die,,noun,,,new,0,
die Kompetenz,الكفاءة,دي كومبهتنتس,die,,noun,,,new,0,
die Komödie,الكوميديا,دي كوموِدي,die,,noun,,,new,0,
die Kontonummer,رقم الحساب,دي كونتونوممر,die,,noun,,,new,0,
die Kontrolle,التحكم,دي كونترولله,die,,noun,,,new,0,
die Konzertkarte,تذكرة الحفل,دي كونتسرتكارته,die,,noun,,,new,0,
die Kopfschmerzen,الصداع,دي كوبفشمرتسن,die,,noun,,,new,0,
die Kosmetik,مستحضرات التجميل,دي كوزمِتيك,die,,noun,,,new,0,
die Kosten,التكاليف,دي كوزتن,die,,noun,,,new,0,
die Krankenpflegerin,الممرضة,دي كرانكنبفلِغرين,die,,noun,,,new,0,
